LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Birim Central;Oda New Town;;THE COMMUNITY HOSPITAL;;;;;
Birim Central;Oda Nkwanta;;Gyadam CHPS;;;;;
Birim Central;Oda Nkwanta;;Oda Nkwanta CHPS;;;;;
Birim Central;Old Town;;Ahenbrono CHPS;;;;;
Birim Central;Old Town;;Asenee CHPS;;;;;
Birim Central;Old Town;;Nyankomasu CHPS;;;;;
Birim Central;Old Town;;Oda Old Town CHPS;;;;;
Birim Central;Old Town;;Old Premier CHPS;;;;;
Birim Central;Old Town;;South Town CHPS;;;;;
Birim North;Afosu;;Afosu Health Centre;;;;;
Birim North;Afosu;;Amenam CHPS;;;;;
Birim North;Afosu;;Mpintimpi CHPS;;;;;
Birim North;Afosu;;Praso Kuma CHPS;;;;;
Birim North;Akoase;;Akoase CHPS;;;;;
Birim North;Akoase;;Bramkrom CHPS;;;;;
Birim North;Akoase;;Kyenkyenku CHPS;;;;;
Birim North;Akoase;;Pankese CHPS;;;;;
Birim North;Amuana Praso;;Abokyikrom CHPS;;;;;
Birim North;Amuana Praso;;Amuana Praso Health Center;;;;;
Birim North;New Abirem;;Akyem Isos Clinic;;;;;
Birim North;New Abirem;;I & I clinic;;;;;
Birim North;New Abirem;;Mamanso CHPS;;;;;
Birim North;New Abirem;;New Abirem Hospital;;;;;
Birim North;New Abirem;;Okaikrom CHPS;;;;;
Birim North;Nkwateng;;Abodom CHPS;;;;;
Birim North;Nkwateng;;Adausena Health Center;;;;;
Birim North;Nkwateng;;Kuntunase CHPS;;;;;
Birim North;Nkwateng;;Nkwateng Health Centre;;;;;
Birim North;Nkwateng;;St Michaels Clinic;;;;;
Birim North;Tweapease (eastern);;Noyem CHPS;;;;;
Birim North;Tweapease (eastern);;Nyafoman CHPS;;;;;
Birim North;Tweapease (eastern);;Tweapease HC;;;;;
Birim South;Apoli;;Apoli Beposo CHPS;;;;;
Birim South;Apoli;;Apoli Health Center;;;;;
Birim South;Apoli;;Ningo CHPS;;;;;
Birim South;Achiase;;Nsuansa CHPS;;;;;
Birim South;Achiase;;Achiase Health Centre;;;;;
Birim South;Achiase;;Achiase Junction CHPS;;;;;
Birim South;Achiase;;Lab CHPS;;;;;
Birim South;Achiase;;Nya Asem Hwe CHPS;;;;;
Birim South;Achiase;;Yarewa CHPS;;;;;
Birim South;Aduasa;;Aduasa CHPS;;;;;
Birim South;Aduasa;;Akortekrom CHPS;;;;;
Birim South;Aduasa;;Oforikrom CHPS;;;;;
Birim South;Akenkausu;;Akenkensu CHPS;;;;;
Birim South;Akenkausu;;Akosombo CHPS;;;;;
Birim South;Akim Swedru;;Adiembra CHPS;;;;;
Birim South;Akim Swedru;;Awisa Health Center;;;;;
Birim South;Akim Swedru;;Swedru Catholic Clinic;;;;;
Birim South;Anamase;;Anamase CHPS;;;;;
Birim South;Anamase;;Bieni CHPS;;;;;
Birim South;Anamase;;Kokobeng CHPS;;;;;
Birim South;Aperade;;Aperade Health Centre;;;;;
Birim South;Aperade;;Duakon CHPS;;;;;
Birim South;Aperade;;Nyankomase CHPS;;;;;
Birim South;Aperade;;Takyi CHPS;;;;;
Birim South;Osoroase;;Anyinam CHPS;;;;;
Birim South;Osoroase;;Osoroase CHPS;;;;;
Birim South;Osoroase;;Teshieman CHPS;;;;;
Denkyembour;Akwatia;;Akwatia CHPS;;;;;
Denkyembour;Akwatia;;Anweaso No. 4 CHPS;;;;;
Denkyembour;Akwatia;;GCD Hospital;;;;;
Denkyembour;Akwatia;;St Dominic Hospital;;;;;
Denkyembour;Apinamang;;Apinamang CHPS;;;;;
Denkyembour;Apinamang;;Dwenease Health Centre;;;;;
Denkyembour;Apinamang;;St Dominic PHC;;;;;
Denkyembour;Boadua;;Bamanase CHPS;;;;;
Denkyembour;Boadua;;Boadua CHPS;;;;;
Denkyembour;Okumaning;;Aboabo CHPS (Denkyembou);;;;;
Denkyembour;Okumaning;;Apraku CHPS;;;;;
Denkyembour;Okumaning;;Okumaning CHPS;;;;;
Denkyembour;Takrowase;;Akim Wenchi Salvation Army Health Centre;;;;;
Denkyembour;Takrowase;;Kusi CHPS;;;;;
Denkyembour;Takrowase;;Takrowase Health Centre;;;;;
Denkyembour;Topremang;;Sakyikrom CHPS;;;;;
Denkyembour;Topremang;;Topremang CHPS;;;;;
East Akim;Amanfrom;;Akwadum/Domeabra CHPS;;;;;
East Akim;Amanfrom;;Amanfrom (East Akim) CHPS;;;;;
East Akim;Amanfrom;;Kwasikomfo CHPS;;;;;
East Akim;Amanfrom;;Odumase CHPS(East Akim);;;;;
East Akim;Amanfrom;;Potrase CHPS;;;;;
East Akim;Apedwa;;Akokoo CHPS;;;;;
East Akim;Apedwa;;Apedwa Health Centre;;;;;
East Akim;Apedwa;;Apedwa Junction CHPS;;;;;
East Akim;Apedwa;;Apedwa Town CHPS;;;;;
East Akim;Apedwa;;Nkronso CHPS;;;;;
East Akim;Asafo (eastern);;Abesim Yeboah CHPS;;;;;
East Akim;Asafo (eastern);;Addonkwanta CHPS;;;;;
East Akim;Asafo (eastern);;Agyapomaa CHPS;;;;;
East Akim;Asafo (eastern);;Asafo (east Akim) Health Centre;;;;;
East Akim;Asafo (eastern);;Asafo Town CHPS;;;;;
East Akim;Asafo (eastern);;Atwemamara CHPS;;;;;
East Akim;Asafo (eastern);;Boateh Fisher CHPS;;;;;
East Akim;Asiakwa;;Adukrom CHPS;;;;;
East Akim;Asiakwa;;Asiakwa Health Centre;;;;;
East Akim;Asiakwa;;Asiakwa Twafor CHPS;;;;;
East Akim;Asiakwa;;Sagyemase CHPS;;;;;
East Akim;Asiakwa;;SOS Clinic;;;;;
East Akim;Asiakwa;;Supong CHPS;;;;;
East Akim;Bunso;;Boso Odumase Kwamena CHPS;;;;;
East Akim;Bunso;;Bunso (East Akim) Health Centre;;;;;
East Akim;Bunso;;Bunso Town CHPS;;;;;
East Akim;Bunso;;Ettukrom CHPS;;;;;
East Akim;Bunso;;Hawa Memorial Saviour Hospital;;;;;
East Akim;Bunso;;Osiem AhienbronumCHPS;;;;;
East Akim;Bunso;;Osiem CHPS;;;;;
East Akim;Kibi;;Ahwenease/Adadientem CHPS;;;;;
East Akim;Kibi;;Apapam CHPS;;;;;
East Akim;Kibi;;Asikam CHPS;;;;;
East Akim;Kibi;;Kibi Government Hospital;;;;;
East Akim;Kibi;;Kibi New Town CHPS;;;;;
East Akim;Kibi;;Kibi Oman CHPS;;;;;
East Akim;Kibi;;Kibi Zongo CHPS;;;;;
