AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;DTS;GWK;Delta;Aniocha South;Aniocha South
NIE;DTS;BMA;Delta;Bomadi;Bomadi
NIE;DTS;BUR;Delta;Burutu;Burutu
NIE;DTS;SKL;Delta;Ethiope East;Ethiope East
NIE;DTS;GRA;Delta;Ethiope West;Ethiope West
NIE;DTS;AYB;Delta;Ika North East;Ika North East
NIE;DTS;AGB;Delta;Ika South;Ika South
NIE;DTS;DSZ;Delta;Isoko North;Isoko North
NIE;DTS;LEH;Delta;Isoko South;Isoko South
NIE;DTS;ABH;Delta;Ndokwa East;Ndokwa East
NIE;DTS;KWC;Delta;Ndokwa West;Ndokwa West
NIE;DTS;KPE;Delta;Okpe;Okpe
NIE;DTS;AKU;Delta;Oshimili North;Oshimili North
NIE;DTS;ASB;Delta;Oshimili South;Oshimili South
NIE;DTS;PTN;Delta;Patani;Patani
NIE;DTS;SAP;Delta;Sapele;Sapele
NIE;DTS;ALA;Delta;Udu;Udu
NIE;DTS;UGH;Delta;Ughelli North;Ughelli North
NIE;DTS;JRT;Delta;Ughelli South;Ughelli South
NIE;DTS;BKW;Delta;Ukwuani;Ukwuani
NIE;DTS;EFR;Delta;Uvwie;Uvwie
NIE;DTS;KLK;Delta;Warri North;Warri North
NIE;DTS;WWR;Delta;Warri South;Warri South
NIE;DTS;WRC;Delta;Warri South-West;Warri South West
NIE;EBS;AKL;Ebonyi;Abakaliki;Abakaliki
NIE;EBS;AFK;Ebonyi;Afikpo North;Afikpo North
NIE;EBS;EDA;Ebonyi;Afikpo South;Afikpo South
NIE;EBS;UGB;Ebonyi;Ebonyi;Ebonyi
NIE;EBS;EBJ;Ebonyi;Ezza North;Ezza North
NIE;EBS;NKE;Ebonyi;Ezza South;Ezza South
NIE;EBS;CHR;Ebonyi;Ikwo;Ikwo
NIE;EBS;ZLL;Ebonyi;Ishielu;Ishielu
NIE;EBS;SKA;Ebonyi;Ivo;Ivo
NIE;EBS;BKL;Ebonyi;Izzi;Izzi
NIE;EBS;BZR;Ebonyi;Ohaozara;Ohaozara
NIE;EBS;HKW;Ebonyi;Ohaukwu;Ohaukwu
NIE;EBS;NCA;Ebonyi;Onicha;Onicha
NIE;EDS;GAR;Edo;Akoko-Edo;Akoko-Edo
NIE;EDS;USL;Edo;Egor;Egor
NIE;EDS;RRU;Edo;Esan Central;Esan Central
NIE;EDS;URM;Edo;Esan North-East;Esan North-East
NIE;EDS;UBJ;Edo;Esan South-East;Esan South-East
NIE;EDS;EKP;Edo;Esan West;Esan West
