region;district;epidcode;growthrate
Katsina;Dutsin-Ma;DTM;3.0
Katsina;Faskari;FSK;3.0
Katsina;Funtua;FTA;3.0
Katsina;Ingawa;NGW;3.0
Katsina;Jibia;JBY;3.0
Katsina;Kafur;KFR;3.0
Katsina;Kaita;KAT;3.0
Katsina;Kankara;KKR;3.0
Katsina;Kankia;KNK;3.0
Katsina;Katsina;KTN;3.0
Katsina;Kurfi;KUF;3.0
Katsina;Kusada;KSD;3.0
Katsina;Mai'Adua;MDW;3.0
Katsina;Malumfashi;MLF;3.0
Katsina;Mani;MAN;3.0
Katsina;Mashi;MSH;3.0
Katsina;Matazu;MTZ;3.0
Katsina;Musawa;MSW;3.0
Katsina;Rimi;RMY;3.0
Katsina;Sabuwa;SBA;3.0
Katsina;Safana;SFN;3.0
Katsina;Sandamu;SDM;3.0
Katsina;Zango;ZNG;3.0
Kebbi;Aleiro;ALR;3.1
Kebbi;Arewa;KGW;3.1
Kebbi;Argungu;ARG;3.1
Kebbi;Augie;AUG;3.1
Kebbi;Bagudo;BGD;3.1
Kebbi;Birnin Kebbi;BRK;3.1
Kebbi;Bunza;BNZ;3.1
Kebbi;Dandi;KMB;3.1
Kebbi;Danko/Wasagu;DKG;3.1
Kebbi;Fakai;RBH;3.1
Kebbi;Gwandu;MHT;3.1
Kebbi;Jega;GWN;3.1
Kebbi;Kalgo;JEG;3.1
Kebbi;Koko/Besse;KLG;3.1
Kebbi;Maiyama;BES;3.1
Kebbi;Ngaski;MYM;3.1
Kebbi;Sakaba;WRR;3.1
Kebbi;Shanga;DRD;3.1
Kebbi;Suru;SNA;3.1
Kebbi;Yauri;YLW;3.1
Kebbi;Zuru;ZUR;3.1
Kogi;Adavi;DAV;3.0
Kogi;Ajaokuta;AJA;3.0
Kogi;Ankpa;KPA;3.0
Kogi;Bassa;BAS;3.0
Kogi;Dekina;KNA;3.0
Kogi;Ibaji;NDG;3.0
Kogi;Idah;DAH;3.0
Kogi;Igalamela-Odolu;AJK;3.0
Kogi;Ijumu;JMU;3.0
Kogi;Kabba/Bunu;KAB;3.0
Kogi;Kogi;KKF;3.0
Kogi;Lokoja;LKJ;3.0
Kogi;Mopa-Muro;MPA;3.0
Kogi;Ofu;KFU;3.0
Kogi;Ogori/Magongo;KPF;3.0
Kogi;Okehi;KKH;3.0
Kogi;Okene;KNE;3.0
Kogi;Olamaboro;LAM;3.0
Kogi;Omala;BJK;3.0
Kogi;Yagba East;SAN;3.0
Kogi;Yagba West;ERE;3.0
Kwara;Asa;AFN;3.0
Kwara;Baruten;KSB;3.0
Kwara;Edu;LAF;3.0
Kwara;Ekiti;ARP;3.0
Kwara;Ifelodun;SHA;3.0
Kwara;Ilorin East;KEY;3.0
Kwara;Ilorin South;FUF;3.0
Kwara;Ilorin West;LRN;3.0
Kwara;Irepodun;MUN;3.0
Kwara;Isin;WSN;3.0
Kwara;Kaiama;KMA;3.0
Kwara;Moro;BDU;3.0
Kwara;Offa;FFA;3.0
Kwara;Oke-Ero;LFF;3.0
Kwara;Oyun;LEM;3.0
Kwara;Pategi;PTG;3.0
Lagos;Agege;GGE;3.2
Lagos;Ajeromi/Ifelodun;AGL;3.2
Lagos;Alimosho;KTU;3.2
Lagos;Amuwo Odofin;FST;3.2
Lagos;Apapa;APP;3.2
Lagos;Badagry;BDG;3.2
Lagos;Epe;EPE;3.2
Lagos;Eti-Osa;EKY;3.2
Lagos;Ibeju Lekki;AKD;3.2
Lagos;Ifako/Ijaye;FKJ;3.2
Lagos;Ikeja;KJA;3.2
Lagos;Ikorodu;KRD;3.2
