region;district;community
Bongolava;Fenoarivobe;Ambohitromby
Bongolava;Fenoarivobe;Ambatomainty Atsimo
Vakinankaratra;Mandoto;Mandoto
Vakinankaratra;Mandoto;Betsohana
Vakinankaratra;Mandoto;Antanambao Ambary
Vakinankaratra;Mandoto;Anjoma Ramartina
Vakinankaratra;Mandoto;Ankazomiriotra
Vakinankaratra;Mandoto;Fidirana
Vakinankaratra;Mandoto;Vasiana
Vakinankaratra;Mandoto;Vinany
Haute Matsiatra;Fianarantsoa I;Tanana Ambony
Haute Matsiatra;Fianarantsoa I;Tanana Ambany
Haute Matsiatra;Fianarantsoa I;Andrainjato Avaratra
Haute Matsiatra;Fianarantsoa I;Andrainjato Sud
Haute Matsiatra;Fianarantsoa I;Manolafaka
Haute Matsiatra;Fianarantsoa I;Lalazana
Haute Matsiatra;Fianarantsoa I;Vatosola
Amoron I Mania;Ambatofinandrahana;Ambatofinandrahana
Amoron I Mania;Ambatofinandrahana;Itremo
Amoron I Mania;Ambatofinandrahana;Fenoarivo
Amoron I Mania;Ambatofinandrahana;Soavina
Amoron I Mania;Ambatofinandrahana;Ambondromisotra
Amoron I Mania;Ambatofinandrahana;Ambatomifanongoa
Amoron I Mania;Ambatofinandrahana;Amborompotsy
Amoron I Mania;Ambatofinandrahana;Mandrosonoro
Amoron I Mania;Ambatofinandrahana;Mangataboahangy
Amoron I Mania;Ambositra;Ambositra I
Amoron I Mania;Ambositra;Ambositra II
Amoron I Mania;Ambositra;Ankazoambo
Amoron I Mania;Ambositra;Ivony Miaramiasa
Amoron I Mania;Ambositra;Andina
Amoron I Mania;Ambositra;Imerina Imady
Amoron I Mania;Ambositra;Ivato
Amoron I Mania;Ambositra;Tsarasaotra
Amoron I Mania;Ambositra;Marosoa
Amoron I Mania;Ambositra;Fahizay
Amoron I Mania;Ambositra;Alakamisy Ambohijato
Amoron I Mania;Ambositra;Kianjandrakefina
Amoron I Mania;Ambositra;Ambalamanakana
Amoron I Mania;Ambositra;Ilaka Centre
Amoron I Mania;Ambositra;Ihadilanana
Amoron I Mania;Ambositra;Ambatofitorahana
Amoron I Mania;Ambositra;Antoetra
Amoron I Mania;Ambositra;Mahazina Ambohipierenana
Amoron I Mania;Ambositra;Sahatsiho Ambohimanjaka
Amoron I Mania;Ambositra;Ambohimitombo I
Amoron I Mania;Ambositra;Ambohimitombo II
Amoron I Mania;Ambositra;Ambinanindrano
Amoron I Mania;Ambositra;Vohidahy
Amoron I Mania;Fandriana;Fandriana
Amoron I Mania;Fandriana;Milamaina
Amoron I Mania;Fandriana;Sahamadio Fisakana
Amoron I Mania;Fandriana;Fiadanana
Amoron I Mania;Fandriana;Tsarazaza
Amoron I Mania;Fandriana;Tatamalaza
Amoron I Mania;Fandriana;Ankarinoro
Amoron I Mania;Fandriana;Sandrandahy
Amoron I Mania;Fandriana;Mahazoarivo
Amoron I Mania;Fandriana;Miarinavaratra
Amoron I Mania;Fandriana;Betsimisotra
Amoron I Mania;Fandriana;Alakamisy Ambohimahazo
Amoron I Mania;Fandriana;Imito
Haute Matsiatra;Ambalavao;Ambalavao
Haute Matsiatra;Ambalavao;Manamisoa
Haute Matsiatra;Ambalavao;Iarintsena
Haute Matsiatra;Ambalavao;Ambohimandroso
Haute Matsiatra;Ambalavao;Andrainjato
Haute Matsiatra;Ambalavao;Anjoma
Haute Matsiatra;Ambalavao;Kirano
Haute Matsiatra;Ambalavao;Sendrisoa
Haute Matsiatra;Ambalavao;Besoa
Haute Matsiatra;Ambalavao;Mahazony
Haute Matsiatra;Ambalavao;Ambinanindovoka
Haute Matsiatra;Ambalavao;Ankaramena
Haute Matsiatra;Ambalavao;Ambinaniroa
Haute Matsiatra;Ambalavao;Ambohimahamasina
Haute Matsiatra;Ambalavao;Miarinarivo
Haute Matsiatra;Ambalavao;Vohitsaoka
Haute Matsiatra;Ambalavao;Fenoarivo
